college,academic_year,term,course_code,section,course_name,instructor,time,url
Hamilton College,2023-24,,CPSCI-105,,Explorations in Computer Science,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/100/cpsci-105
Hamilton College,2023-24,,CPSCI-110,,Introduction to Computer Science,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/100/cpsci-110
Hamilton College,2023-24,,CPSCI-111,,Data Structures,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/100/cpsci-111
Hamilton College,2023-24,,CPSCI-112,,Problem Solving and Data Structures,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/100/cpsci-112
Hamilton College,2023-24,,CPSCI-123,,Discrete Mathematics,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/100/cpsci-123
Hamilton College,2023-24,,CPSCI-200,,"Social, Structural, and Institutional Hierarchies",,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-200
Hamilton College,2023-24,,CPSCI-205,,Technologies Seminar,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-205
Hamilton College,2023-24,,CPSCI-207,,Topics in Computer Science I,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-207
Hamilton College,2023-24,,CPSCI-210,,Applied Theory,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-210
Hamilton College,2023-24,,CPSCI-220,,Principles of Programming Languages,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-220
Hamilton College,2023-24,,CPSCI-230,,Algorithms and Data Structures,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-230
Hamilton College,2023-24,,CPSCI-240,,Computer Organization and Assembly Language,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-240
Hamilton College,2023-24,,CPSCI-290,,Programming Challenges,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-290
Hamilton College,2023-24,,CPSCI-298,,Computer Science Research,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/200/cpsci-298
Hamilton College,2023-24,,CPSCI-307,,Topics in Computer Science II,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-307
Hamilton College,2023-24,,CPSCI-310,,Compilers,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-310
Hamilton College,2023-24,,CPSCI-320,,Computer Architecture,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-320
Hamilton College,2023-24,,CPSCI-330,,Algorithms,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-330
Hamilton College,2023-24,,CPSCI-340,,Operating Systems,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-340
Hamilton College,2023-24,,CPSCI-350,,Database Theory and Practice,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-350
Hamilton College,2023-24,,CPSCI-360,,Developing Accessible User Interfaces,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-360
Hamilton College,2023-24,,CPSCI-375,,Artificial Intelligence,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-375
Hamilton College,2023-24,,CPSCI-380,,Theory of Computation,,,https://hamilton.smartcatalogiq.com/en/2023-2024/college-catalogue/courses/cpsci-computer-science/300/cpsci-380
